Jahr,PLZ,GA,GA_flag,HTA,HTA_flag
2012,1275,65.00,,283.00,
2012,1276,33.00,,316.00,
2012,1277,30.00,,309.00,
2012,1278,28.00,,245.00,
2012,1279,44.00,,402.00,
2012,1281,9.86,1,88.00,
2012,1283,9.86,1,193.00,
2012,1284,9.86,1,144.00,
2012,1285,9.86,1,203.00,
2012,1286,9.86,1,84.00,
2012,1287,9.86,1,102.00,
2012,1288,9.86,1,116.00,
2012,1290,130.00,,1636.00,
2012,1291,65.00,,630.00,
2012,1292,33.00,,564.00,
2012,1293,38.00,,457.00,
2012,1294,20.00,,360.00,
2012,1295,58.00,,773.00,
2012,1296,78.00,,872.00,
2012,1297,61.00,,750.00,
2012,1298,20.00,,125.00,
2012,1299,48.00,,570.00,
2012,1302,25.00,,305.00,
2012,1303,26.00,,217.00,
2012,1304,114.00,,789.00,
2012,1305,70.00,,523.00,
2012,1306,9.86,1,176.00,
2012,1307,9.86,1,60.00,
2012,1308,9.86,1,81.00,
2012,1312,25.00,,195.00,
2012,1313,20.00,,54.00,
2012,1315,81.00,,440.00,
2012,1316,9.86,1,45.00,
2012,1317,9.86,1,50.00,
2012,1318,9.86,1,120.00,
2012,1321,23.00,,124.00,
2012,1322,20.00,,94.00,
2012,1323,34.00,,130.00,
2012,1324,22.00,,39.00,
2012,1325,9.86,1,49.00,
2012,1326,9.86,1,61.00,
2012,1329,9.86,1,59.00,
2012,1337,119.00,,483.00,
2012,1338,25.00,,129.00,
2012,1341,9.86,1,97.00,
2012,1342,9.86,1,75.00,
2012,1343,9.86,1,60.00,
2012,1344,9.86,1,54.00,
2012,1345,31.00,,110.00,
2012,1346,9.86,1,72.00,
2012,1347,57.00,,368.00,
2012,1348,30.00,,179.00,
2012,1350,178.00,,1076.00,
2012,1352,9.86,1,57.00,
2012,1353,9.86,1,23.00,
2012,1354,9.86,1,57.00,
2012,1355,9.86,1,66.00,
2012,1356,9.86,1,30.00,
2012,1357,9.86,1,43.00,
2012,1358,9.86,1,68.00,
2012,1372,39.00,,120.00,
2012,1373,143.00,,548.00,
2012,1374,9.86,1,66.00,
2012,1375,9.86,1,67.00,
2012,1376,9.86,1,152.00,
2012,1377,9.86,1,85.00,
2012,1400,1580.00,,5374.00,
2012,1404,9.86,1,52.00,
2012,1405,28.00,,131.00,
2012,1406,9.86,1,64.00,
2012,1407,29.00,,127.00,
2012,1408,9.86,1,27.00,
2012,1409,9.86,1,11.43,2
2012,1410,22.00,,185.00,
2012,1412,9.86,1,69.00,
2012,1413,9.86,1,39.00,
2012,1415,9.86,1,64.00,
2012,1416,9.86,1,94.00,
2012,1417,22.00,,120.00,
2012,1418,9.86,1,113.00,
2012,1420,22.00,,80.00,
2012,1421,9.86,1,73.00,
2012,1422,178.00,,665.00,
2012,1423,39.00,,147.00,
2012,1424,47.00,,181.00,
2012,1425,20.00,,94.00,
2012,1426,51.00,,281.00,
2012,1427,24.00,,107.00,
2012,1428,9.86,1,61.00,
2012,1429,9.86,1,91.00,
